,Name,Address,Rating,Latitude,Longitude,Google Maps Link
84,"Trendigo Studio - Pole Dance, Aerial Hoop Fitness","Nuselská 142/9, 140 00 Praha 4-Nusle, Czechia",5.0,50.0635099,14.4428744,https://www.google.com/maps/place/?q=place_id:ChIJlxNF3H6UC0cRLsX_dEGTmpI
85,VM STRETCHING,"Na Moráni 360/3, 128 00 Nové Město, Czechia",5.0,50.0734167,14.4153065,https://www.google.com/maps/place/?q=place_id:ChIJzaoWriyVC0cRKj6b0Fdcv9g
86,Lenka Krejčová Barre Academy,"Jankovcova 16b/1639, 170 00 Praha 7-Holešovice, Czechia",4.5,50.10890269999999,14.4535465,https://www.google.com/maps/place/?q=place_id:ChIJSdNxuT3rC0cRUYAP4riJHxM
87,Tereza Hausmanová Yoga,"M. Horákové 53, 170 00 Praha 7-Holešovice, Czechia",5.0,50.0998369,14.4264103,https://www.google.com/maps/place/?q=place_id:ChIJRayr8i-VC0cROTz_w9OlVH4
88,Xplore Fitness,"Na Příkopě 17/1047, 110 00 Staré Město, Czechia",4.6,50.0855324,14.4250594,https://www.google.com/maps/place/?q=place_id:ChIJLazjeOyUC0cRMOFx5go2bPo
89,Salt Cave and Heat center Strašnice,"Černokostelecká 106, 100 00 Strašnice, Czechia",4.1,50.0774664,14.5056787,https://www.google.com/maps/place/?q=place_id:ChIJuQ6cMhmTC0cR-LGb6OgC6ng
90,FORM FACTORY Malešice,"Nad úžlabinou 708/5, 108 00 Praha 10, Czechia",3.9,50.0802921,14.4993722,https://www.google.com/maps/place/?q=place_id:ChIJ72AHMgCTC0cRcRpPTqiWtxs
91,Mata jóga,"Nad Primaskou 1179/27, 100 00 Strašnice, Czechia",4.6,50.0748669,14.4895189,https://www.google.com/maps/place/?q=place_id:ChIJkTYzv_yTC0cRwERUOZlFLwY
92,Fitness Victory Záběhlice,"Topolová 2963, 106 00 Praha 10-Záběhlice, Czechia",4.7,50.05614569999999,14.5075104,https://www.google.com/maps/place/?q=place_id:ChIJPRZFcOmTC0cRMioYh4_Smd8
94,S L A V IA Fitness,"Vladivostocká 1460/10b, 100 00 Praha 10-Vršovice, Czechia",4.2,50.0685954,14.4781583,https://www.google.com/maps/place/?q=place_id:ChIJHavbrQyTC0cRVMY99zC56To
95,Agoge Gym,"Na Jarově 2424/2, 130 00 Praha 3-Žižkov, Czechia",5.0,50.0882192,14.491762,https://www.google.com/maps/place/?q=place_id:ChIJxeJftRmSC0cRSBVdsXMNFWM
96,Form Factory Fitness Center Hostivař,"Švehlova 1391/32, 102 00 Praha 10-Hostivař, Czechia",4.2,50.0533949,14.5172819,https://www.google.com/maps/place/?q=place_id:ChIJ7dtvi1mSC0cRQR00WEqgOC0
97,Form Factory Fitness Club Vinohradská,"Vinohradská 190, 130 00 Praha 3-Žižkov, Czechia",4.1,50.078131,14.4743419,https://www.google.com/maps/place/?q=place_id:ChIJ0Tx_wm6TC0cRtns83u7134Y
98,edenio,"Za Potokem, 106 00 Praha 10, Czechia",4.9,50.0512613,14.4957053,https://www.google.com/maps/place/?q=place_id:ChIJiYBE8OuTC0cRGSqlNXUag_M
99,Sports Martial Arts Club Hostivař,"Trhanovské nám. 179, 102 00 Praha 15, Czechia",4.9,50.0519524,14.5256122,https://www.google.com/maps/place/?q=place_id:ChIJlTnxf16SC0cRm_CqqAXN7z8
